circuitId,circuitName,lat,long,locality,country,url
nivelles,Nivelles-Baulers,50.6211,4.32694,Brussels,Belgium,http://en.wikipedia.org/wiki/Nivelles-Baulers
nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,http://en.wikipedia.org/wiki/N%C3%BCrburgring
okayama,Okayama International Circuit,34.915,134.221,Okayama,Japan,http://en.wikipedia.org/wiki/TI_Circuit
pedralbes,Circuit de Pedralbes,41.3903,2.11667,Barcelona,Spain,http://en.wikipedia.org/wiki/Pedralbes_Circuit
pescara,Pescara Circuit,42.475,14.1508,Pescara,Italy,http://en.wikipedia.org/wiki/Pescara_Circuit
phoenix,Phoenix street circuit,33.4479,-112.075,Phoenix,USA,http://en.wikipedia.org/wiki/Phoenix_street_circuit
portimao,Autódromo Internacional do Algarve,37.227,-8.6267,Portimão,Portugal,http://en.wikipedia.org/wiki/Algarve_International_Circuit
red_bull_ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,http://en.wikipedia.org/wiki/Red_Bull_Ring
reims,Reims-Gueux,49.2542,3.93083,Reims,France,http://en.wikipedia.org/wiki/Reims-Gueux
ricard,Circuit Paul Ricard,43.2506,5.79167,Le Castellet,France,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
riverside,Riverside International Raceway,33.937,-117.273,California,USA,http://en.wikipedia.org/wiki/Riverside_International_Raceway
rodriguez,Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico City,Mexico,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
sebring,Sebring International Raceway,27.4547,-81.3483,Florida,USA,http://en.wikipedia.org/wiki/Sebring_Raceway
sepang,Sepang International Circuit,2.76083,101.738,Kuala Lumpur,Malaysia,http://en.wikipedia.org/wiki/Sepang_International_Circuit
shanghai,Shanghai International Circuit,31.3389,121.22,Shanghai,China,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,http://en.wikipedia.org/wiki/Silverstone_Circuit
sochi,Sochi Autodrom,43.4057,39.9578,Sochi,Russia,http://en.wikipedia.org/wiki/Sochi_Autodrom
spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,http://en.wikipedia.org/wiki/Suzuka_Circuit
tremblant,Circuit Mont-Tremblant,46.1877,-74.6099,Quebec,Canada,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
valencia,Valencia Street Circuit,39.4589,-0.331667,Valencia,Spain,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
vegas,Las Vegas Strip Street Circuit,36.1147,-115.173,Las Vegas,United States,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
watkins_glen,Watkins Glen,42.3369,-76.9272,New York State,USA,http://en.wikipedia.org/wiki/Watkins_Glen_International
yas_marina,Yas Marina Circuit,24.4672,54.6031,Abu Dhabi,UAE,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
yeongam,Korean International Circuit,34.7333,126.417,Yeongam County,Korea,http://en.wikipedia.org/wiki/Korean_International_Circuit
zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,http://en.wikipedia.org/wiki/Circuit_Zandvoort
zeltweg,Zeltweg,47.2039,14.7478,Styria,Austria,http://en.wikipedia.org/wiki/Zeltweg_Airfield
zolder,Zolder,50.9894,5.25694,Heusden-Zolder,Belgium,http://en.wikipedia.org/wiki/Zolder
